class,color_R,color_G,color_B,texture_0,texture_1,texture_2,texture_3,texture_4,edges_mean,spatial_mean,spatial_stddev,shape_area
Healthy,113.857335387736,152.74446481510378,77.67418083944453,0.0038598065220783275,0.025349118427211735,0.007610391636760805,0.09696910594476517,0.1978311749102824,1.0240384615384615,132.56091823997502,30.13261889781308,237234.5
Healthy,120.70352824153535,148.10677172725855,87.08398151037603,0.009566625058511469,0.05585114682477765,0.010994304883757217,0.0748868778280543,0.1933765017943517,2.5135941644562334,132.9304610703698,30.345445032290442,262250.5
Healthy,113.17172920892496,144.47651544702762,94.23212279606804,0.0036082072086128882,0.021540021844281478,0.008076533000468091,0.10653768138555157,0.24488024652831955,1.436339522546419,129.38614058355438,34.50282011249203,166618.0
Mossaic,102.53048652202499,107.64660092044707,54.63366535174227,0.017087442472057856,0.07633300460223537,0.016204799474030245,0.09467455621301775,0.2490647600262985,5.369921104536489,100.06665680473373,62.97063236488757,254733.5
Mossaic,131.53203813280737,128.55417488494413,102.664677843524,0.013599605522682445,0.06696745562130177,0.01792406311637081,0.10114727153188692,0.29132807363576596,3.3853303747534516,126.49554733727811,38.413881798407886,332183.0
Mossaic,138.09411119329388,144.91673816568047,98.33042899408284,0.0034319526627218937,0.020859220907297832,0.008051035502958579,0.1001060157790927,0.2810281065088757,1.2237610946745563,137.56724605522683,31.170815015608547,612212.5
Mossaic,138.21212430555556,132.42495555555556,108.00179027777779,0.007761805555555556,0.03725208333333333,0.01183125,0.11565694444444445,0.25700555555555554,3.988625,131.3619361111111,46.20751868264545,790261.0
Mossaic,159.72020972222222,153.8848277777778,113.36226319444445,0.011846527777777777,0.04339097222222222,0.0203125,0.10784305555555555,0.23578819444444443,2.7509895833333333,151.01935902777777,28.7822226591392,1263250.0
Mossaic,146.81447430555556,143.26956597222224,124.35622291666667,0.01427013888888889,0.02670763888888889,0.015853472222222224,0.15394097222222222,0.1826715277777778,2.1242916666666667,142.17229652777777,32.01180775017701,1065392.0
Mossaic,159.29962361111112,159.19687291666668,135.16326875000001,0.001792361111111111,0.01868402777777778,0.00523125,0.10568055555555556,0.18691319444444446,0.6653020833333333,156.49070208333333,27.700476799824852,1326336.5
Mossaic,141.13145208333333,141.56296875,93.05367152777778,0.0041131944444444445,0.028889583333333333,0.011231944444444444,0.11837916666666666,0.22561180555555554,1.2891666666666666,135.90885138888888,38.718100421689414,911016.5
Mossaic,142.98625416666667,132.93005,108.02209236111112,0.004458333333333333,0.03172638888888889,0.011141666666666666,0.11552569444444444,0.24428055555555556,1.9652708333333333,133.08908055555557,41.80562981344818,977994.0
Mossaic,158.12651458333335,162.97095625,114.04996875,0.003065972222222222,0.028380555555555555,0.007600694444444445,0.10419444444444445,0.16795347222222223,0.86434375,155.93596597222222,29.359837227144112,1354980.0
Mossaic,144.83981597222223,143.76177777777778,112.50588888888889,0.0034944444444444446,0.038989583333333334,0.007924305555555556,0.09700138888888889,0.17489027777777777,0.88346875,140.53643680555555,32.57133440829497,1034159.5
Mossaic,146.86204652777778,161.20202500000002,96.60718819444445,0.0033618055555555554,0.019494444444444443,0.008891666666666668,0.12061597222222223,0.21598819444444445,1.5886145833333334,149.55510555555554,29.96401398696577,1309754.5
Mossaic,132.4452712031558,126.00656804733728,96.45758382642998,0.007333990795529257,0.04038461538461539,0.013247863247863248,0.10647107166337935,0.3136061801446417,3.276775147928994,124.55529750164365,42.28165188554644,299535.5
Mossaic,124.07352708333335,142.38410416666667,74.92638055555555,0.010063194444444444,0.043838194444444444,0.014613194444444444,0.11335625,0.25761388888888886,2.1115416666666667,129.21256875,42.71226142844791,720427.0
Mossaic,147.6679736111111,158.2034541666667,100.25655069444444,0.004617361111111111,0.028075694444444445,0.008759722222222223,0.10955694444444444,0.19723680555555556,0.5847291666666666,148.44840833333333,30.61774160188714,1183031.0
Mossaic,150.75498611111112,152.11532986111112,108.70479930555555,0.004571527777777778,0.021846527777777777,0.011620138888888888,0.14692569444444445,0.25771041666666666,1.5962291666666666,146.7555548611111,30.271009646959193,1251125.0
Mossaic,153.26388194444445,146.06220833333333,108.87961875,0.0069097222222222225,0.02926875,0.012234722222222221,0.12521458333333332,0.26050416666666665,1.15653125,143.97502569444444,34.98904371022855,1091514.0
Mossaic,145.00651875,142.16366319444444,114.72777777777779,0.00558125,0.037450694444444446,0.012020833333333333,0.11344583333333333,0.32492430555555557,1.77384375,139.88413819444443,37.59506681678703,1045127.0
Mossaic,120.4584861932939,109.26236850756082,79.48291584483893,0.02125410913872452,0.04547830374753452,0.025384615384615384,0.12218113083497699,0.2989661406969099,8.546104536489151,109.21526134122288,51.64696909783618,209918.0
Mossaic,165.2205473372781,154.5988247863248,119.99673076923077,0.006873767258382643,0.029917817225509534,0.02128205128205128,0.12386259040105194,0.3494428007889546,4.3388560157790925,153.8198241288626,32.17239998320188,541052.0
Mossaic,134.66972222222222,126.48498191978962,87.78332018408942,0.010317225509533201,0.03452991452991453,0.01740138067061144,0.11495069033530572,0.32738658777120316,4.644403353057199,124.51952662721894,41.56921973798284,283698.0
Mossaic,154.42879848783696,145.00958908612756,104.2383727810651,0.009644970414201183,0.04050788954635109,0.01963182117028271,0.1164612097304405,0.29678336620644313,3.4393984220907297,143.17562623274162,34.83166910799885,463105.0
Mossaic,159.5836291913215,149.3501298487837,108.82493589743589,0.014115713346482577,0.038040762656147274,0.019439513477975016,0.1207741617357002,0.3048356344510191,4.060552268244576,147.79374917817225,34.2597424687325,492602.5
Mossaic,135.76841551610784,126.38112754766601,88.04655161078239,0.012212360289283367,0.04204142011834319,0.019498685075608153,0.11278106508875739,0.3423915187376726,5.797016765285996,124.82383464825773,41.32219480283067,274939.5
Mossaic,124.06225345167653,120.83958908612755,77.16273339907956,0.005996055226824458,0.03527120315581854,0.013722879684418146,0.10349769888231426,0.28197567389875083,2.0604536489151872,116.82808842866535,50.33101060834563,241730.5
Mossaic,141.5019510190664,137.37060322156475,84.63169953977646,0.0160387902695595,0.04660092044707429,0.017064431295200525,0.09223537146614069,0.2499293228139382,4.115458579881657,132.58757560815252,45.522319519454754,401272.0
Mossaic,131.5370821005917,134.02621671597632,88.53349235700196,0.007993096646942801,0.026399161735700196,0.010602810650887574,0.12723002958579882,0.30337894477317556,1.0323224852071007,128.11956360946746,35.1670237660094,392537.0
Mossaic,132.39313486193294,140.29602071005917,93.8871807199211,0.0028377712031558183,0.0194896449704142,0.009463757396449704,0.10493589743589743,0.34070636094674556,1.5164201183431953,132.64899531558186,34.73463401135584,533795.5
Mossaic,134.81562499999998,150.18902983234713,80.98253328402366,0.002011834319526627,0.019800295857988166,0.003254437869822485,0.07791789940828403,0.11840113412228796,0.8430843195266272,137.70781681459567,28.06544567029994,516308.5
Mossaic,127.6936156311637,141.6529844674556,83.11083333333333,0.0036267258382643,0.031095907297830374,0.009462524654832348,0.09963141025641026,0.25723496055226824,0.9270155325443787,130.79261464497043,33.61749161593203,394411.0
Mossaic,135.61977194280078,148.49276750493095,80.25473002958579,0.0015557199211045365,0.014012573964497042,0.004450197238658777,0.09069773175542406,0.1459405818540434,0.032377958579881655,136.84735453648915,23.195828987124926,610351.0
Mossaic,144.1686723372781,152.9457741617357,86.3358592209073,0.003036242603550296,0.021839250493096648,0.006767751479289941,0.10271942800788955,0.23957963510848126,0.8779770710059172,142.72129068047337,33.13393692269101,582452.0
